time_index	left_time_boundary	right_time_boundary	lambda
0	-0	2.24254e-06	141963
1	2.24254e-06	4.54333e-06	1.88165
2	4.54333e-06	6.90549e-06	43.7984
3	6.90549e-06	9.33237e-06	165.05
4	9.33237e-06	1.18276e-05	323.98
5	1.18276e-05	1.43952e-05	487.478
6	1.43952e-05	1.70394e-05	646.744
7	1.70394e-05	1.97651e-05	801.318
8	1.97651e-05	2.25772e-05	952.293
9	2.25772e-05	2.54816e-05	1100.75
10	2.54816e-05	2.84844e-05	1322.26
11	2.84844e-05	3.15927e-05	1322.26
12	3.15927e-05	3.4814e-05	1609.19
13	3.4814e-05	3.81568e-05	1609.19
14	3.81568e-05	4.16308e-05	1892.53
15	4.16308e-05	4.52467e-05	1892.53
16	4.52467e-05	4.90164e-05	2174.21
17	4.90164e-05	5.29537e-05	2174.21
18	5.29537e-05	5.70743e-05	2457.2
19	5.70743e-05	6.13959e-05	2457.2
20	6.13959e-05	6.59392e-05	2745.43
21	6.59392e-05	7.07283e-05	2745.43
22	7.07283e-05	7.57911e-05	3043.85
23	7.57911e-05	8.1161e-05	3043.85
24	8.1161e-05	8.68775e-05	3360.22
25	8.68775e-05	9.29886e-05	3360.22
26	9.29886e-05	9.95527e-05	3706.36
27	9.95527e-05	0.000106643	3706.36
28	0.000106643	0.00011435	4102.33
29	0.00011435	0.000122792	4102.33
30	0.000122792	0.000132124	4586.66
31	0.000132124	0.000142557	4586.66
32	0.000142557	0.000154384	5248.57
33	0.000154384	0.000168038	5248.57
34	0.000168038	0.000184188	6367.84
35	0.000184188	0.000203953	6367.84
36	0.000203953	0.000229434	9898.58
37	0.000229434	0.000265349	9898.58
38	0.000265349	0.000326745	108.417
39	0.000326745	inf	108.417
