time_index	left_time_boundary	right_time_boundary	lambda
0	-0	2.27794e-06	136236
1	2.27794e-06	4.61505e-06	15.8571
2	4.61505e-06	7.0145e-06	334.428
3	7.0145e-06	9.47969e-06	857.108
4	9.47969e-06	1.20143e-05	1232.21
5	1.20143e-05	1.46224e-05	1465.07
6	1.46224e-05	1.73084e-05	1621.53
7	1.73084e-05	2.00771e-05	1739.96
8	2.00771e-05	2.29336e-05	1840.49
9	2.29336e-05	2.58839e-05	1932
10	2.58839e-05	2.89341e-05	2063.39
11	2.89341e-05	3.20914e-05	2063.39
12	3.20914e-05	3.53635e-05	2230.45
13	3.53635e-05	3.87592e-05	2230.45
14	3.87592e-05	4.2288e-05	2395.98
15	4.2288e-05	4.59609e-05	2395.98
16	4.59609e-05	4.97902e-05	2561.98
17	4.97902e-05	5.37897e-05	2561.98
18	5.37897e-05	5.79753e-05	2730.22
19	5.79753e-05	6.23651e-05	2730.22
20	6.23651e-05	6.69802e-05	2902.08
21	6.69802e-05	7.18448e-05	2902.08
22	7.18448e-05	7.69875e-05	3080.27
23	7.69875e-05	8.24422e-05	3080.27
24	8.24422e-05	8.8249e-05	3268.51
25	8.8249e-05	9.44565e-05	3268.51
26	9.44565e-05	0.000101124	3472.6
27	0.000101124	0.000108326	3472.6
28	0.000108326	0.000116155	3702.57
29	0.000116155	0.00012473	3702.57
30	0.00012473	0.00013421	3976.77
31	0.00013421	0.000144807	3976.77
32	0.000144807	0.000156822	4335.69
33	0.000156822	0.000170691	4335.69
34	0.000170691	0.000187095	4893.86
35	0.000187095	0.000207172	4893.86
36	0.000207172	0.000233056	6245.72
37	0.000233056	0.000269537	6245.72
38	0.000269537	0.000331903	170.658
39	0.000331903	inf	170.658
