time_index	left_time_boundary	right_time_boundary	lambda
0	-0	2.30394e-06	145917
1	2.30394e-06	4.66774e-06	29.3698
2	4.66774e-06	7.09457e-06	654.562
3	7.09457e-06	9.5879e-06	1554.49
4	9.5879e-06	1.21515e-05	2010.91
5	1.21515e-05	1.47894e-05	2159.56
6	1.47894e-05	1.7506e-05	2185.34
7	1.7506e-05	2.03063e-05	2173.26
8	2.03063e-05	2.31954e-05	2153.43
9	2.31954e-05	2.61793e-05	2136.46
10	2.61793e-05	2.92644e-05	2123.6
11	2.92644e-05	3.24577e-05	2123.6
12	3.24577e-05	3.57672e-05	2126.17
13	3.57672e-05	3.92016e-05	2126.17
14	3.92016e-05	4.27708e-05	2145.67
15	4.27708e-05	4.64856e-05	2145.67
16	4.64856e-05	5.03586e-05	2177.39
17	5.03586e-05	5.44037e-05	2177.39
18	5.44037e-05	5.86371e-05	2217.32
19	5.86371e-05	6.3077e-05	2217.32
20	6.3077e-05	6.77448e-05	2263.12
21	6.77448e-05	7.26649e-05	2263.12
22	7.26649e-05	7.78664e-05	2313.33
23	7.78664e-05	8.33833e-05	2313.33
24	8.33833e-05	8.92564e-05	2367.63
25	8.92564e-05	9.55348e-05	2367.63
26	9.55348e-05	0.000102279	2425.97
27	0.000102279	0.000109563	2425.97
28	0.000109563	0.000117481	2489.2
29	0.000117481	0.000126154	2489.2
30	0.000126154	0.000135742	2559.43
31	0.000135742	0.00014646	2559.43
32	0.00014646	0.000158612	2641.5
33	0.000158612	0.00017264	2641.5
34	0.00017264	0.000189231	2747.08
35	0.000189231	0.000209537	2747.08
36	0.000209537	0.000235717	2920.17
37	0.000235717	0.000272614	2920.17
38	0.000272614	0.000335691	418.605
39	0.000335691	inf	418.605
